CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2.192330653527474,1136.9094658016825,31.683469169165097,2.739992059664356,672.2058816382669,61.76603894045743,1452.6204910052586,75.794829712764,1334.708165536305,729.6010177333766,11.547003948850955,57.91110964746223,2.2376370258241414
-202.03869164838204,988.9365280314628,-199.5238396023757,7.605120436649568,845.8163914098863,-199.9246219951371,958.8652034186506,-199.13053909564664,1476.8957786905823,845.1691121495174,9.211145173494405,73.75429924217104,0.3363936478422088
3.470781773000245,924.6479103383808,-199.8565110511768,7.267236432202123,804.3204595439449,58.89717522410982,902.318902860457,77.42650595233452,1510.333978762122,524.7874994904939,29.91046900560065,34.305666157204875,0.6185912137385944
-201.57964939351868,1281.8460615476356,-200.7974558627773,19.05118297672836,1246.9433240915928,-200.5391341880272,560.1592413361815,-201.03861087355165,1861.4180568929671,1258.6039980137364,19.995002291447225,61.21109285564342,0.2238515032679979
7.081452326473048,-199.18453325208384,-200.57438891452816,-201.3383810019689,-200.36490389824635,1006.106139872961,-200.0702139742786,151.19852002890883,-198.77392849815087,-200.693799233472,-200.41872686508955,-201.2783441675662,-201.3364784794841
-201.40825627126264,897.2296568943424,28.28371746498573,2.3849658098778503,528.7554999219925,41.69308717338847,1461.9241566021838,68.3359119055156,1101.820344222807,691.3578948635587,13.100372344247912,36.77553291485988,0.3538396257064335
1.0359086593869744,1067.4063412205164,-198.75155425285072,11.718071317837454,962.7969096905698,93.88374207144464,859.9503654428164,91.69986228438069,1658.4192089856024,803.0388211187924,33.849796422244644,21.549730207890477,1.8179043754146165
2.3968774533391723,902.6166567643816,-199.76049746500024,6.6279121894725685,807.3220690906611,58.692807928817736,911.6736607768931,65.08357342311207,1408.8387927007927,632.0728041374422,33.15002990074426,24.496736110861104,0.8789522381450914
0.3604376512124251,865.205703646673,-199.37701276883976,3.079506180385015,619.4641061831767,65.53665501406103,1073.4569361115423,42.10872192439376,1286.2853332689326,573.7343705434829,19.375650205079296,73.67543662656239,2.25804088146367
2.1305505473040327,1193.9594624352385,-199.8008346982942,12.051638187729267,1139.3372963428674,145.28229302102935,562.3917831892385,47.70636635755757,2009.7068441430947,1257.5407123533255,23.526826080152794,61.402093333676746,0.4836930457440356
